run_id,started_utc,finished_utc,flights_pulled,flights_predicted,actuals_updated,weather_obs_added,notes
1,2026-05-04T22:15:45.692203+00:00,2026-05-04T22:16:38.677193+00:00,15.0,4.0,0.0,385.0,
2,2026-05-04T22:19:34.898075+00:00,2026-05-04T22:23:00.511774+00:00,180.0,30.0,44.0,385.0,
3,2026-05-04T22:29:05.384018+00:00,2026-05-04T22:30:02.508251+00:00,60.0,15.0,19.0,385.0,
4,2026-05-06T02:31:35.914317+00:00,2026-05-06T02:34:04.166934+00:00,120.0,21.0,45.0,35.0,
5,2026-05-06T10:59:24.693302+00:00,2026-05-06T11:02:06.095812+00:00,135.0,24.0,34.0,189.0,
6,2026-05-07T12:01:17.209732+00:00,2026-05-07T12:15:37.593542+00:00,135.0,78.0,37.0,4354.0,
7,2026-05-07T13:30:48.715241+00:00,2026-05-07T13:45:50.186805+00:00,135.0,77.0,25.0,4740.0,
8,2026-05-07T15:16:03.905376+00:00,2026-05-07T15:31:52.636260+00:00,135.0,83.0,33.0,5425.0,
9,2026-05-07T17:01:57.284506+00:00,,,,,,
