fa_flight_id,scheduled_in_utc,actual_in_utc,arr_delay_min,departure_delay_min,cancelled,diverted,settled_at_utc,ident_iata,tail_num,op_carrier,origin,dest
DAL1324-1778040808-fa-956p,2026-05-08T13:16:00,2026-05-08T13:10:00Z,-6.0,8.0,0,0,2026-05-08T13:14:20.196110+00:00,DL1324,N343NW,DL,ATL,IAD
FFT3287-1778046457-airline-740p,2026-05-08T13:18:00,2026-05-08T13:10:00Z,-8.0,6.0,0,0,2026-05-08T13:15:25.749695+00:00,F93287,N609FR,F9,LGA,ATL
DAL2116-1778041668-fa-45p,2026-05-08T13:20:00,2026-05-08T13:10:00Z,-10.0,-6.0,0,0,2026-05-08T13:15:25.749695+00:00,DL2116,N926AT,DL,TLH,ATL
SKW4822-1778051710-airline-250p,2026-05-08T12:10:00,2026-05-08T13:10:00Z,60.0,44.0,0,0,2026-05-08T13:18:04.916211+00:00,OO4822,N248LR,OO,GRI,DFW
AAL1836-1778042851-airline-481p,2026-05-08T13:23:00,2026-05-08T13:09:00Z,-14.0,-4.0,0,0,2026-05-08T13:16:32.986233+00:00,AA1836,N948NN,AA,DFW,SAT
JIA5087-1778045167-airline-844p,2026-05-08T12:25:00,2026-05-08T13:09:00Z,44.0,-7.0,0,0,2026-05-08T13:18:04.916211+00:00,OH5087,N705PS,OH,BTR,DFW
AAL1023-1778047132-airline-1824p,2026-05-08T13:33:00,2026-05-08T13:09:00Z,-24.0,-8.0,0,0,2026-05-08T13:20:18.961253+00:00,AA1023,N869NN,AA,LGA,CLT
SKW4803-1778044117-airline-278p,2026-05-08T12:58:00,2026-05-08T13:09:00Z,11.0,-6.0,0,0,2026-05-08T13:22:36.988905+00:00,OO4803,N163SY,OO,MKE,ORD
GJS4485-1778051570-airline-464p,2026-05-08T12:54:00,2026-05-08T13:09:00Z,15.0,-9.0,0,0,2026-05-08T13:22:36.988905+00:00,G74485,N545GJ,G7,ROA,ORD
AAL2612-1778049897-airline-288p,2026-05-08T13:35:00,2026-05-08T13:09:00Z,-26.0,-8.0,0,0,2026-05-08T13:24:10.659455+00:00,AA2612,N447AN,AA,DEN,DFW
SWA1543-1778046316-airline-1692p,2026-05-08T13:05:00,2026-05-08T13:09:00Z,4.0,-7.0,0,0,2026-05-08T13:25:17.980815+00:00,WN1543,N8529Z,WN,RDU,DEN
DAL2793-1778041662-fa-796p,2026-05-08T13:25:00,2026-05-08T13:08:00Z,-17.0,-9.0,0,0,2026-05-08T13:14:20.196110+00:00,DL2793,N981AT,DL,ATL,GNV
ENY3369-1778044261-airline-1921p,2026-05-08T13:39:00,2026-05-08T13:08:00Z,-31.0,-8.0,0,0,2026-05-08T13:18:04.916211+00:00,MQ3369,N324ES,MQ,CUU,DFW
