fa_flight_id,scheduled_in_utc,actual_in_utc,arr_delay_min,departure_delay_min,cancelled,diverted,settled_at_utc,ident_iata,tail_num,op_carrier,origin,dest
DAL1491-1777781417-fa-1692p,,2026-05-06T02:23:00Z,26.0,62.0,0,0,2026-05-06T02:32:00.211332+00:00,,,,,
DAL975-1777781197-fa-311p,,2026-05-06T02:22:00Z,-19.0,1.0,0,0,2026-05-06T02:32:00.211332+00:00,,,,,
DAL2956-1777781374-fa-560p,,2026-05-06T02:18:00Z,-34.0,-12.0,0,0,2026-05-06T02:32:00.211332+00:00,,,,,
DAL3056-1777782050-fa-1131p,,2026-05-06T02:16:00Z,87.0,103.0,0,0,2026-05-06T02:32:00.211332+00:00,,,,,
JBU697-1777788350-airline-1511p,,2026-05-06T02:14:00Z,51.0,41.0,0,0,2026-05-06T02:32:00.211332+00:00,,,,,
DAL1946-1777781164-fa-179p,,2026-05-06T02:13:00Z,28.0,52.0,0,0,2026-05-06T02:32:00.211332+00:00,,,,,
DAL1987-1778022307-fa-886p,,2026-05-06T02:11:00Z,97.0,-10.0,0,0,2026-05-06T02:32:00.211332+00:00,,,,,
DAL1140-1777781579-fa-355p,,2026-05-06T02:10:00Z,-29.0,-9.0,0,0,2026-05-06T02:32:00.211332+00:00,,,,,
SWA362-1777786296-airline-1419p,,2026-05-06T02:07:00Z,7.0,19.0,0,0,2026-05-06T02:32:00.211332+00:00,,,,,
AAL2779-1777784923-airline-1454p,,2026-05-06T02:07:00Z,-16.0,2.0,0,0,2026-05-06T02:32:00.211332+00:00,,,,,
UAL419-1777766707-fa-1485p,,2026-05-06T02:06:00Z,62.0,85.0,0,0,2026-05-06T02:32:00.211332+00:00,,,,,
AAL3041-1777784923-airline-1769p,,2026-05-06T02:03:00Z,-27.0,-7.0,0,0,2026-05-06T02:32:00.211332+00:00,,,,,
SWA526-1777786389-airline-5333p,,2026-05-06T01:59:00Z,14.0,27.0,0,0,2026-05-06T02:32:00.211332+00:00,,,,,
DAL2625-1777781492-fa-305p,,2026-05-06T01:53:00Z,-2.0,11.0,0,0,2026-05-06T02:32:00.211332+00:00,,,,,
EDV5051-1777784077-airline-1158p,,2026-05-06T01:52:00Z,3.0,24.0,0,0,2026-05-06T02:32:00.211332+00:00,,,,,
DAL591-1777781159-fa-582p,,2026-05-06T01:52:00Z,0.0,20.0,0,0,2026-05-06T02:32:00.211332+00:00,,,,,
JBU1798-1777786731-airline-1966p,,2026-05-06T01:51:00Z,-9.0,-4.0,0,0,2026-05-06T02:32:00.211332+00:00,,,,,
SWA1837-1777795268-airline-1485p,,2026-05-06T01:48:00Z,28.0,36.0,0,0,2026-05-06T02:32:00.211332+00:00,,,,,
DAL1705-1777782195-fa-1194p,,2026-05-06T01:47:00Z,-3.0,16.0,0,0,2026-05-06T02:32:00.211332+00:00,,,,,
DAL599-1777781151-fa-1782p,,2026-05-06T01:43:00Z,33.0,48.0,0,0,2026-05-06T02:32:00.211332+00:00,,,,,
DAL1295-1777781284-fa-875p,,2026-05-06T01:42:00Z,-2.0,22.0,0,0,2026-05-06T02:32:00.211332+00:00,,,,,
DAL1348-1777782246-fa-61p,,2026-05-06T01:41:00Z,-13.0,13.0,0,0,2026-05-06T02:32:00.211332+00:00,,,,,
UAL2093-1777766707-fa-886p,,2026-05-06T01:38:00Z,17.0,0.0,0,0,2026-05-06T02:32:00.211332+00:00,,,,,
DAL2340-1777782029-fa-528p,,2026-05-06T01:38:00Z,8.0,43.0,0,0,2026-05-06T02:32:00.211332+00:00,,,,,
DAL1430-1777781583-fa-1086p,,2026-05-06T01:36:00Z,-24.0,0.0,0,0,2026-05-06T02:32:00.211332+00:00,,,,,
UAL1398-1777766707-fa-887p,,2026-05-06T01:36:00Z,-21.0,-8.0,0,0,2026-05-06T02:32:00.211332+00:00,,,,,
DAL9939-1777941566-fa-1208p,,2026-05-06T01:35:00Z,635.0,648.0,0,0,2026-05-06T02:32:00.211332+00:00,,,,,
DAL2364-1777782306-fa-1641p,,2026-05-06T01:34:00Z,-26.0,0.0,0,0,2026-05-06T02:32:00.211332+00:00,,,,,
FFT4474-1777794329-airline-172p,,2026-05-06T01:33:00Z,2.0,17.0,0,0,2026-05-06T02:32:00.211332+00:00,,,,,
DAL1372-1777782186-fa-1877p,,2026-05-06T01:32:00Z,214.0,215.0,0,0,2026-05-06T02:32:00.211332+00:00,,,,,
FFT2871-1777794175-airline-1732p,,2026-05-06T01:31:00Z,-4.0,-11.0,0,0,2026-05-06T02:32:00.211332+00:00,,,,,
DAL2050-1777781403-fa-889p,,2026-05-06T01:30:00Z,-25.0,-7.0,0,0,2026-05-06T02:32:00.211332+00:00,,,,,
DAL715-1777781119-fa-831p,,2026-05-06T01:29:00Z,-15.0,-2.0,0,0,2026-05-06T02:32:00.211332+00:00,,,,,
