fa_flight_id,scheduled_in_utc,actual_in_utc,arr_delay_min,departure_delay_min,cancelled,diverted,settled_at_utc,ident_iata,tail_num,op_carrier,origin,dest
VXP394-1777958782-airline-1178p,,2026-05-07T17:55:00Z,15.0,33.0,0,0,2026-05-07T18:19:35.499352+00:00,,,,,
DAL677-1777954842-fa-1482p,,2026-05-07T17:54:00Z,-6.0,6.0,0,0,2026-05-07T18:15:42.440993+00:00,,,,,
DAL593-1777954641-fa-554p,,2026-05-07T17:54:00Z,-4.0,0.0,0,0,2026-05-07T18:15:42.440993+00:00,,,,,
FFT1846-1777963115-airline-1452p,2026-05-07T17:55:00,2026-05-07T17:54:00Z,-1.0,-2.0,0,0,2026-05-07T18:15:42.440993+00:00,F91846,N385FR,F9,CVG,ATL
SWA2433-1777961333-airline-777p,,2026-05-07T17:54:00Z,-1.0,-4.0,0,0,2026-05-07T18:19:35.499352+00:00,,,,,
DAL1882-1777954020-fa-727p,,2026-05-07T17:54:00Z,16.0,19.0,0,0,2026-05-07T18:19:35.499352+00:00,,,,,
DAL1902-1777955052-fa-1008p,,2026-05-07T17:54:00Z,3.0,-2.0,0,0,2026-05-07T18:19:35.499352+00:00,,,,,
DAL1046-1777953963-fa-440p,,2026-05-07T17:53:00Z,19.0,16.0,0,0,2026-05-07T18:15:42.440993+00:00,,,,,
DAL1658-1777953986-fa-1498p,,2026-05-07T17:53:00Z,3.0,-1.0,0,0,2026-05-07T18:15:42.440993+00:00,,,,,
DAL2020-1777955137-fa-773p,2026-05-07T17:24:00,2026-05-07T17:53:00Z,29.0,19.0,0,0,2026-05-07T18:19:35.499352+00:00,DL2020,N607AT,DL,ATL,OKC
DAL945-1777953963-fa-1539p,,2026-05-07T17:53:00Z,15.0,-1.0,0,0,2026-05-07T18:19:35.499352+00:00,,,,,
DAL33-1777954058-fa-895p,,2026-05-07T17:52:00Z,18.0,-16.0,0,0,2026-05-07T18:15:42.440993+00:00,,,,,
DAL1801-1777954885-fa-4576p,,2026-05-07T17:52:00Z,-4.0,2.0,0,0,2026-05-07T18:19:35.499352+00:00,,,,,
DAL1894-1777953968-fa-737p,,2026-05-07T17:52:00Z,1.0,-4.0,0,0,2026-05-07T18:19:35.499352+00:00,,,,,
DAL3151-1777955152-fa-150p,,2026-05-07T17:51:00Z,8.0,12.0,0,0,2026-05-07T18:19:35.499352+00:00,,,,,
DAL3024-1777955099-fa-853p,,2026-05-07T17:50:00Z,15.0,12.0,0,0,2026-05-07T18:19:35.499352+00:00,,,,,
DAL586-1777954105-fa-1068p,,2026-05-07T17:50:00Z,75.0,46.0,0,0,2026-05-07T18:19:35.499352+00:00,,,,,
DAL2343-1777954101-fa-653p,,2026-05-07T17:49:00Z,48.0,28.0,0,0,2026-05-07T18:15:42.440993+00:00,,,,,
DAL9961-1778086027-fa-1377p,,2026-05-07T17:49:00Z,-7.0,-17.0,0,0,2026-05-07T18:15:42.440993+00:00,,,,,
DAL1509-1777954535-fa-984p,,2026-05-07T17:49:00Z,19.0,31.0,0,0,2026-05-07T18:15:42.440993+00:00,,,,,
RPA4580-1777958754-airline-1527p,2026-05-07T17:40:00,2026-05-07T17:49:00Z,9.0,34.0,0,0,2026-05-07T18:19:35.499352+00:00,YX4580,N116HQ,YX,ATL,LGA
DAL2135-1777954492-fa-184p,,2026-05-07T17:48:00Z,-25.0,-3.0,0,0,2026-05-07T18:19:35.499352+00:00,,,,,
DAL1796-1777954080-fa-817p,,2026-05-07T17:48:00Z,23.0,18.0,0,0,2026-05-07T18:19:35.499352+00:00,,,,,
DAL552-1777954242-fa-900p,2026-05-07T17:13:00,2026-05-07T17:47:00Z,34.0,13.0,0,0,2026-05-07T18:15:42.440993+00:00,DL552,N343DN,DL,MCO,ATL
EDV4940-1777961956-airline-503p,2026-05-07T12:50:00,2026-05-07T17:47:00Z,297.0,310.0,0,0,2026-05-07T18:15:42.440993+00:00,9E4940,N279PQ,9E,MLU,ATL
EDV5091-1777935397-fa-404p,2026-05-07T17:05:00,2026-05-07T17:47:00Z,42.0,42.0,0,0,2026-05-07T18:19:35.499352+00:00,9E5091,N138EV,9E,ATL,MOB
SKW3507-1777945193-fa-1682p,2026-05-07T17:23:00,2026-05-07T17:46:56Z,23.933333333333334,23.0,0,0,2026-05-07T18:19:35.499352+00:00,OO3507,N264SY,OO,ATL,SHV
DAL1063-1777954404-fa-732p,2026-05-07T17:56:00,2026-05-07T17:46:00Z,-10.0,-8.0,0,0,2026-05-07T18:15:42.440993+00:00,DL1063,N325NB,DL,MDW,ATL
DAL2026-1777954928-fa-1322p,,2026-05-07T17:46:00Z,10.0,13.0,0,0,2026-05-07T18:19:35.499352+00:00,,,,,
