iata,state,timezone,iem_network,iem_validated,iem_name,iem_lat,iem_lon
GTF,MT,America/Denver,MT_ASOS,True,GREAT FALLS INTL,47.4733,-111.3822
GUC,CO,America/Denver,CO_ASOS,True,GUNNISON CO. (AWOS),38.5339,-106.933
HDN,CO,America/Denver,CO_ASOS,True,HAYDEN/YAMPA (AWOS),40.48,-107.22
HGR,MD,America/New_York,MD_ASOS,True,HAGERSTOWN REGIONAL,39.7078,-77.7297
HHH,SC,America/New_York,SC_ASOS,False,,,
HIB,MN,America/Chicago,MN_ASOS,True,HIBBING,47.3866,-92.839
HLN,MT,America/Denver,MT_ASOS,True,HELENA REGIONAL,46.6056,-111.9636
HNL,HI,Pacific/Honolulu,HI_ASOS,False,,,
HOB,NM,America/Denver,NM_ASOS,True,HOBBS/LEA CO.,32.6875,-103.217
HOU,TX,America/Chicago,TX_ASOS,True,HOUSTON/WILL HOBBY,29.6375,-95.2824
HPN,NY,America/New_York,NY_ASOS,True,WHITE PLAINS,41.0669,-73.7075
HRL,TX,America/Chicago,TX_ASOS,True,HARLINGEN INTL ARPT,26.2285,-97.6544
HSV,AL,America/Chicago,AL_ASOS,True,HUNTSVILLE/MADISON,34.6439,-86.7861
HTS,WV,America/New_York,WV_ASOS,True,HUNTINGTON/TRI STAT,38.365,-82.555
HYS,KS,America/Chicago,KS_ASOS,True,HAYS_MUNI,38.8422,-99.2732
IAD,VA,America/New_York,VA_ASOS,True,WASHINGTON/DULLES,38.9348,-77.4473
IAG,NY,America/New_York,NY_ASOS,True,NIAGARA FALLS INTL,43.1073,-78.9462
IAH,TX,America/Chicago,TX_ASOS,True,Houston Intercontinental,29.9844,-95.3607
ICT,KS,America/Chicago,KS_ASOS,True,WICHITA,37.65,-97.43
IDA,ID,America/Boise,ID_ASOS,True,IDAHO FALLS/FANNING,43.5137,-112.0708
ILM,NC,America/New_York,NC_ASOS,True,Wilmington Intl,34.27,-77.9
IMT,MI,America/New_York,MI_ASOS,True,IRON MOUNTAIN,45.8184,-88.1146
