ORIGIN,DEST,DISTANCE
ATL,BOS,946.0
ATL,BWI,577.0
ATL,DCA,547.0
ATL,DEN,1199.0
ATL,DFW,731.0
ATL,EWR,746.0
ATL,FLL,581.0
ATL,LAS,1747.0
ATL,LAX,1947.0
ATL,LGA,762.0
ATL,MCO,404.0
ATL,MIA,594.0
ATL,ORD,606.0
ATL,PHL,666.0
ATL,TPA,406.0
BOS,ATL,946.0
BWI,ATL,577.0
DCA,ATL,547.0
DEN,ATL,1199.0
DFW,ATL,731.0
EWR,ATL,746.0
FLL,ATL,581.0
LAS,ATL,1747.0
LAX,ATL,1947.0
LGA,ATL,762.0
MCO,ATL,404.0
MIA,ATL,594.0
ORD,ATL,606.0
PHL,ATL,666.0
TPA,ATL,406.0
